Datetime,Away Location,Away Mascot,Home Location,Home Mascot
10/27/15 7:00 PM,Detroit,Pistons,Atlanta,Hawks
10/27/15 7:00 PM,Cleveland,Cavaliers,Chicago,Bulls
10/27/15 9:30 PM,New Orleans,Pelicans,Golden State,Warriors
10/28/15 6:00 PM,Washington,Wizards,Orlando,Magic
10/28/15 6:30 PM,Philadelphia,76ers,Boston,Celtics
10/28/15 6:30 PM,Chicago,Bulls,Brooklyn,Nets
10/28/15 6:30 PM,Utah,Jazz,Detroit,Pistons
10/28/15 6:30 PM,Charlotte,Hornets,Miami,Heat
10/28/15 6:30 PM,Indiana,Pacers,Toronto,Raptors
10/28/15 7:00 PM,Denver,Nuggets,Houston,Rockets
10/28/15 7:00 PM,Cleveland,Cavaliers,Memphis,Grizzlies
10/28/15 7:00 PM,New York,Knicks,Milwaukee,Bucks
10/28/15 7:00 PM,San Antonio,Spurs,Oklahoma City,Thunder
10/28/15 9:00 PM,Dallas,Mavericks,Phoenix,Suns
10/28/15 9:00 PM,New Orleans,Pelicans,Portland,Trailblazers
10/28/15 9:00 PM,Los Angeles,Lakers,Sacramento,Kings
10/28/15 9:30 PM,Minnesota,Timberwolves,Los Angeles,Lakers
10/29/15 6:00 PM,Memphis,Grizzlies,Indiana,Pacers
10/29/15 7:00 PM,Atlanta,Hawks,New York,Knicks
10/29/15 9:30 PM,Dallas,Mavericks,Los Angeles,Lakers
10/30/15 6:00 PM,Miami,Heat,Cleveland,Cavaliers
10/30/15 6:00 PM,Oklahoma City,Thunder,Orlando,Magic
10/30/15 6:00 PM,Utah,Jazz,Philadelphia,76ers
10/30/15 6:30 PM,Toronto,Raptors,Boston,Celtics
10/30/15 6:30 PM,Chicago,Bulls,Detroit,Pistons
10/30/15 7:00 PM,Charlotte,Hornets,Atlanta,Hawks
10/30/15 7:00 PM,Washington,Wizards,Milwaukee,Bucks
10/30/15 7:30 PM,Brooklyn,Nets,San Antonio,Spurs
10/30/15 8:00 PM,Minnesota,Timberwolves,Denver,Nuggets
10/30/15 8:30 PM,Golden State,Warriors,Houston,Rockets
10/30/15 9:00 PM,Los Angeles,Lakers,Sacramento,Kings
10/30/15 9:30 PM,Portland,Trailblazers,Phoenix,Suns
10/31/15 6:00 PM,Utah,Jazz,Indiana,Pacers
10/31/15 6:00 PM,New York,Knicks,Washington,Wizards
